,A,B,C,D
0,0.949031037653,0.732243597437,0.960744666951,0.156015674854
1,0.51672497071,0.182436777586,0.976902987004,0.609497629556
2,0.0858035091739,0.576808460991,0.778209880644,0.886282260352
3,0.00829424452678,0.183770835748,0.204646953987,0.00829424452678
4,0.985117141455,0.98940375876,0.946493846273,0.949451710951
5,0.965897129231,0.972828142823,0.906055332733,0.899690290997
6,0.148798580322,0.048347801372,0.0973846255799,0.365869126636
7,0.747708749895,0.560340218974,0.381133016797,0.814435721191
8,0.674546614875,0.73266390305,0.117192381611,0.753970247066
9,0.754392968477,0.75474910673,0.713999460636,0.713195441068
10,0.0290402468062,0.702964730761,0.26379047717,0.572200203916
11,0.11958029378,0.11958029378,0.0496551023024,0.209874356506
12,0.674527659793,0.660901088611,0.634409802809,0.669913576497
13,0.153032134691,0.0912563022613,0.109470800444,0.00355943944258
14,0.647687514034,0.647687514034,0.658980981451,0.862731631664
15,0.313163820495,0.242613671993,0.0723421790717,0.287797437459
16,0.1107643658,0.338982363573,0.386955011501,0.045404500948
17,0.301666287397,0.708222449936,0.271962706107,0.62470916365
18,0.930063074617,0.774440995719,0.313288908897,0.645633688511
19,0.927688394255,0.966663725059,0.950448470333,0.665355530765
20,0.986629661605,0.109008429829,0.919589520615,0.649182320408
21,0.454188138258,0.950006891595,0.732514925717,0.606884707028
22,0.977164699368,0.942894838637,0.870407768778,0.00253376883888
23,0.523086921855,0.592820838931,0.708522110883,0.403055977809
24,0.93371753474,0.726871398263,0.893856963834,0.785155915437
25,0.239201052963,0.611059839945,0.907667145382,0.93046114868
26,0.0328232803956,0.0631025803185,0.0282518357264,0.00622608574552
27,0.779956447691,0.520404166148,0.732969882333,0.670136949374
28,0.275764044354,0.395163350044,0.031753952419,0.348460463194
29,0.179218091037,0.881670320075,0.071264080986,0.960156449891
30,0.29421746512,0.795341879123,0.976789859613,0.971453256921
31,0.149971824952,0.113590086352,0.211262398137,0.187329108083
32,0.639827832336,0.556391632223,0.503521185954,0.498902220727
33,0.906874688745,0.454272509784,0.802189408329,0.865404066988
34,0.437481156477,0.1026221074,0.0476659818593,0.104262934582
35,0.506552433439,0.891048048055,0.0087889513496,0.908475099628
36,0.783277798745,0.0487998720838,0.399963435631,0.921165338564
37,0.369316649987,0.399664131338,0.943560438345,0.320774655664
38,0.71037514884,0.267352000002,0.0272966024656,0.403559436024
39,0.828426755225,0.27566072155,0.653281295457,0.795938781429
40,0.53483796781,0.228027277968,0.0920164389483,0.0433751700636
41,0.984636403069,0.892761057125,0.484517649804,0.968066598958
42,0.153037269672,0.153037269672,0.754638030126,0.0227982716649
43,0.968582332765,0.997356657304,0.996697301466,0.986463877605
44,0.499265321186,0.399126776339,0.716661200266,0.714736663491
45,0.994825209041,0.99579771181,0.995044534024,0.995237369847
46,0.244607794486,0.0335440391933,0.114582813415,0.0216963658796
47,0.995632994089,0.994098290956,0.471317726111,0.995757115795
48,0.972263016213,0.972263016213,0.972263016213,0.972263016213
49,0.454282329089,0.768170573414,0.454282329089,0.98853713731
50,0.457732054304,0.71032673491,0.531240852889,0.855741594852
51,0.193312597156,0.305369968744,0.539628147125,0.201340279367
52,0.278493407304,0.89131175911,0.470422429786,0.297422090126
53,0.416441140479,0.618610267972,0.000272832802057,0.558585447018
54,0.209851175349,0.178140230499,0.209851175349,0.178140230499
55,0.0041953384452,0.136022902612,0.199800211995,0.600378341345
56,0.422300407409,0.501653962501,0.414663750984,0.520520893017
57,0.00660721330214,0.0368723961078,0.161168550573,0.315235319164
58,0.518278549636,0.684194231578,0.691002350215,0.724444325144
59,0.21544311972,0.126909557494,0.0301740405854,0.00407238760883
60,0.268111523154,0.659416135492,0.265353088553,0.91992454157
61,0.0619124743066,0.227694000502,0.0453208980619,0.15041092295
62,0.598041893631,0.376326077295,0.986571831353,0.92670621677
63,0.0360347370549,0.550239327465,0.568167858121,0.698834410574
64,0.610121298127,0.610121298127,0.610121298127,0.610121298127
65,0.0480235298567,0.455377809741,0.974550200444,0.472614138323
66,0.981461779235,0.925217597808,0.0235168705374,0.533042454996
67,0.850479928928,0.493298353545,0.0459286804214,0.7889775643
68,0.00674235808255,0.100410819981,0.0551907640781,0.441257368221
69,0.603340894789,0.852701511613,0.85119405925,0.744173036272
70,0.105749347887,0.864942172819,0.245159180228,0.954930514218
71,0.849232335131,0.850500435313,0.905600445828,0.483624338166
72,0.889290289626,0.80052031993,0.204425902534,0.992322138968
73,0.971341282978,0.974322564827,0.970707418562,0.307074909675
74,0.974300642073,0.914778594401,0.897807852896,0.91611549652
75,0.901688793156,0.911670670128,0.824242482818,0.884887972292
76,0.287511942419,0.0233379186991,0.241548211768,0.459838381825
77,0.782027977318,0.899432730228,0.859534319107,0.925274220365
78,0.965288579395,0.477483680616,0.97257358906,0.20549995834
79,0.616167318193,0.379893283532,0.710067749454,0.656520706968
80,0.986018040797,0.986041259058,0.982978548619,0.986018040797
81,0.972406755733,0.989733919791,0.984686861747,0.420591409682
82,0.75910054003,0.60066438724,0.224151672714,0.120149130583
83,0.994575050062,0.996047715729,0.994495227032,0.991443618764
84,0.880120482655,0.877334785548,0.830512078355,0.835845177419
85,0.974989797631,0.967789556169,0.967789556169,0.967789556169
86,0.211152890486,0.177228144986,0.0566123716435,0.00466339081109
87,0.394840750966,0.35654956034,0.437717681362,0.389287107602
88,0.236429176497,0.212473384342,0.233738045152,0.348762720432
89,0.688986788574,0.071913352682,0.168360935614,0.071913352682
90,0.849416612446,0.975508850077,0.429175032522,0.919057155762
91,0.686685129577,0.353436409791,0.382683901181,0.971548579269
92,0.378328316245,0.175263327801,0.0809930099517,0.137712514096
93,0.790130834393,0.803527799813,0.843667242007,0.809962385466
94,0.937701287271,0.957482901121,0.955546109403,0.893320921135
95,0.975346775652,0.992234562448,0.989371291036,0.110319911763
96,0.947454538123,0.84583436641,0.168281641951,0.69701868483
97,0.196934292676,0.340507959676,0.183701967089,0.149892370632
98,0.3652691823,0.158380369988,0.744116237218,0.885293439145
99,0.01378186335,0.431018841157,0.988114642341,0.371064313202
100,0.159540736871,0.313130903451,0.0189996440921,0.857336047452
101,0.143706081702,0.656636770072,0.143706081702,0.656636770072
102,0.00491531912113,0.182105707451,0.0073721981253,0.0196677959455
103,0.807506727743,0.807506727743,0.977232974096,0.566001567359
104,0.204021459791,0.126452512633,0.41458299613,0.277498111875
105,0.0857329868403,0.743630882944,0.857018080721,0.694361551922
106,0.218336775539,0.60714634247,0.769821137599,0.577226974378
107,0.992958441744,0.992715108524,0.993250546134,0.994776555036
108,0.542173149731,0.760260189195,0.0506373178845,0.674776370145
109,0.738742106263,0.912760469725,0.671680986028,0.676418677287
110,0.737123860202,0.935923890807,0.934882973845,0.921260359584
